merchant,description,category
Macy's,홈,Shopping
Tonkotsu Ramen,,Food & Drink
Disability,Freelance payment,Income
CVS Pharmacy,,Healthcare
KAISER PERMANENTE $777.87,,Healthcare
Zillow,Rent,Housing
CVS Pharmacy,X-ray,Healthcare
Zelle,환급,Income
Merry Maids,Cleaning,Housing
Wine Shop STORE #7478 PURCHASE,,Food & Drink
Home Security,Internet,Bills & Utilities
Property Tax,Overdue payment,Bills & Utilities
Xbox Store,मनोरंजन,Entertainment
Thai Basil,Salad,Food & Drink
Wingstop,,Food & Drink
AMC THEATRES HOUSTON $163.24,,Entertainment
Kaplan,Fellowship,Education
Dave & Buster's,किराने का सामान,Food & Drink
Qdoba,ресторан,Food & Drink
Gift Card,Filing fee,Other
Toll,geral,Other
Hulu,बिल,Bills & Utilities
Frontier,viaje,Transport
COMCAST CABLE $257.03 Internet,,Bills & Utilities
Walmart,electrónica,Shopping
Ambulance,salud,Healthcare
Merry Maids,,Housing
XBOX LIVE $24.34 Premium subscription,,Entertainment
HOA Payment,hypothek,Housing
CubeSmart,Packing,Housing
Omio,reise,Transport
Rail Europe,,Transport
WALGREENS #8554 $687.31 Prescription,,Healthcare
XBOX LIVE $96.43 Podcast,,Entertainment
AT&T Store,Watch,Shopping
Rainforest Cafe STORE #3974 PURCHASE Catering order,,Food & Drink
Property Tax,Airbnb stay,Housing
USPS POSTAGE $38.42,,Other
PROPERTY TAX $1656.23,,Housing
Pandora,エンターテイメント,Entertainment
Brake Service,Tire rotation,Transport
American Home Shield,Maintenance,Housing
Trust Distribution,,Income
HOME DEPOT #4981 $1287.71,,Housing
Garage Sale,Refund,Income
Duke Energy,versicherung,Bills & Utilities
Carpool,Supercharger,Transport
HomeGoods,Sneakers,Shopping
Direct Energy,보험,Bills & Utilities
STOCK SALE ROYA $2287.84 Gig payment,,Income
License Renewal,Workshop,Education
JioMart,Ring,Shopping
UNIVERSITY TUITION $541.71 Tech course,,Education
Medical Center,,Healthcare
Radiology Associates,медицина,Healthcare
Whole Foods,Latte,Food & Drink
TICKETMASTER $115.46,,Entertainment
Aquarium,,Entertainment
HOSPITAL BILL $1114.24,,Healthcare
PG&E ELECTRIC $309.61 Cloud storage,,Bills & Utilities
Aspen Dental,dentista,Healthcare
Deductible payment,صحة,Healthcare
Supplement,مستشفى,Healthcare
DIVIDEND EMPL $4783.68 Prize,,Income
Subway,Cake,Food & Drink
Tax Preparer,Misc purchase,Other
LOWES #1026 $1119.36 Windows,,Housing
Babbel,Music,Entertainment
COURSERA PURCHASE $60.01,,Education
Xbox Store,,Entertainment
Home Depot,Hardware,Shopping
DEBIT PURCHASE Steam Birthday gift,,Shopping
MEDICAL CENTER $747.13,,Healthcare
Venmo,State refund,Income
ONLINE ORDER REI,,Shopping
Spotify,,Bills & Utilities
UNIVERSITY TUITION $587.59,,Education
Furniture Store,मरम्मत,Housing
DOORDASH *Denny's PURCHASE,,Food & Drink
Apartments.com,Storage,Housing
Nike,쇼핑,Shopping
Tip,,Income
Bolt,Airport transfer,Transport
LOWES #8362 $1990.33 Airbnb stay,,Housing
APPLE STORE PURCHASE $242.81 Coat,,Shopping
Self Storage,Misc purchase,Other
Red Cross,Faxing,Other
XBOX LIVE $68.08,,Entertainment
Papa John's,Frappuccino,Food & Drink
Hawaiian Airlines,Annual pass,Transport
Mayo Clinic,Vitamins,Healthcare
PAYPAL TRANSFER $9189.69 Capital gains,,Income
Pharmacy,X-ray,Healthcare
PURCHASE AUTHORIZED Buffalo Wild Wings $37.53,,Food & Drink
PLAYSTATION STORE $50.82 Annual plan,,Entertainment
TaskRabbit,,Housing
Jump Start,In-flight meal,Transport
Gas Station,reise,Transport
CVS PHARMACY #1258 $574.87,,Healthcare
Gym Membership,Cable,Bills & Utilities
Bakery,レストラン,Food & Drink
HBO Max,Convenience fee,Bills & Utilities
Greyhound,EV charging,Transport
AT&T,monthly charge,Bills & Utilities
Toptal,,Income
FlixBus,,Transport
Valet Parking,Airport shuttle,Transport
Grab,سفر,Transport
Progressive,Direct debit,Bills & Utilities
Penalty,기타,Other
STEAM PURCHASE $105.17 Gym membership,,Entertainment
Chipotle,,Food & Drink
Pho Hoa,,Food & Drink
Spa Day,Pay-per-view,Entertainment
Prepaid Card,Certification,Other
Genki Sushi,,Food & Drink
Direct Energy,تأمين,Bills & Utilities
Employer Inc.,Cash back reward,Income
Book Store,Learning,Education
Daycare,различные,Other
QUEST DIAGNOSTICS $956.19,,Healthcare
NETFLIX.COM $175.80,,Entertainment
Urgent Care,,Healthcare
