merchant,description,category
Auto Insurance,Deductible,Bills & Utilities
Nanny,Kennel,Other
Women's Health Center,薬局,Healthcare
DELTA AIR LINES $74.21 Oil change,,Transport
DELTA AIR LINES $121.24 Charging,,Transport
Chanel,kleidung,Shopping
Bank Fee,Delivery,Other
Kaplan,школа,Education
MoneyGram,andere,Other
H&M,,Shopping
Ride Share,EV charging,Transport
Nando's,Holiday dinner,Food & Drink
Printing,各种,Other
Seminar,강좌,Education
MAINTENANCE Orkin $983.57,,Housing
Gratuity,Side hustle,Income
Gym Membership,Finance charge,Bills & Utilities
BOOK STORE $1621.65 Scholarship,,Education
BOOK STORE $620.87,,Education
Starbucks,Coffee,Food & Drink
STOCK SALE 401K $510.36 Paycheck,,Income
Property Tax,Tax payment,Housing
Sweetgreen,,Food & Drink
Tropical Smoothie,café,Food & Drink
PAYPAL TRANSFER $3438.71,,Income
Exxon,Bridge toll,Transport
PAYPAL TRANSFER $3156.43,,Income
PROPERTY TAX $1946.36 Smart home,,Housing
ATM WITHDRAWAL FEE Wire,,Other
Medicine,Imaging,Healthcare
KAISER PERMANENTE $939.50,,Healthcare
Rent Payment,주택담보대출,Housing
WALGREENS #8631 $451.56,,Healthcare
PROPERTY TAX $2467.13 Repair,,Housing
Waste Management,,Bills & Utilities
GOVERNMENT PAYMENT $5.13 ATM,,Other
Pluralsight,Textbook,Education
DENTAL ASSOCIATES $14.12,,Healthcare
HOME DEPOT #9945 $1512.72,,Housing
Wayfair,Wedding gift,Shopping
CHEGG STUDY $1051.03,,Education
LensCrafters,dentista,Healthcare
Legal Services,Miscellaneous,Other
Penalty,,Other
RENT PAYMENT $1629.70,,Housing
Radio Cab,交通,Transport
WESTERN UNION $198.96,,Other
Parking Meter,Airline ticket,Transport
Kindle,Audiobook,Entertainment
FlixBus,비행기,Transport
UNITED AIRLINES $414.00,,Transport
UBER EATS *Hardee's PURCHASE,,Food & Drink
Cava,Delivery,Food & Drink
Photography,,Entertainment
DEBIT PURCHASE PetSmart,,Shopping
CubeSmart,reparo,Housing
American Home Shield,Maintenance,Housing
Netflix,Interest charge,Bills & Utilities
METRO TRANSIT $80.67,,Transport
Personal Trainer,musik,Entertainment
H&M,買い物,Shopping
BANK FEE $43.89 Babysitting,,Other
Tropical Smoothie,Dessert,Food & Drink
Bank of America,Annual tax refund,Income
Fitness Class,Meditation app,Entertainment
DOORDASH *Tandoori Nights PURCHASE,,Food & Drink
TICKETMASTER $90.62 Spa treatment,,Entertainment
Dairy Queen,खाना,Food & Drink
PHARMACY PURCHASE $997.81,,Healthcare
Shein,Ring,Shopping
Phone plan,बिल,Bills & Utilities
Yoga Studio,Overdue payment,Bills & Utilities
AMC THEATRES DUBAI $44.76,,Entertainment
Nando's,Soda,Food & Drink
AMAZON.COM PURCHASE $222.94 Baby items,,Shopping
Electric Bill,factures,Bills & Utilities
Travelers,सदस्यता,Bills & Utilities
Dermatologist,Procedure,Healthcare
AUTOPAY VERIZON WIRELESS $142.14,,Bills & Utilities
Fiverr,Airbnb income,Income
SCHOOL PAYMENT $597.42,,Education
NETFLIX.COM $180.67 Festival,,Entertainment
HOME DEPOT.COM $1925.91,,Housing
Workshop,образование,Education
Booking.com,Utility deposit,Housing
UDEMY COURSE $697.49,,Education
Michaels,खरीदारी,Shopping
Pet Emergency,,Healthcare
UPS SHIPPING $114.67 Various,,Other
Comixology,Pay-per-view,Entertainment
KAISER PERMANENTE $1433.90,,Healthcare
DEBIT CARD PURCHASE Kroger Fresh produce,,Food & Drink
QUEST DIAGNOSTICS $788.85,,Healthcare
RECURRING PAYMENT Insurance Premium,,Bills & Utilities
Greggs,café,Food & Drink
Psychologist,gesundheit,Healthcare
Walmart Pharmacy,Vaccination,Healthcare
WESTERN UNION $11.92,,Other
Plumbing,Plumber,Housing
ParkWhiz,Registration,Transport
Recycling,账单,Bills & Utilities
FiOS,보험,Bills & Utilities
UBER *TRIP $116.71,,Transport
UBER EATS *Carl's Jr. PURCHASE,,Food & Drink
SKILLSHARE $357.10,,Education
Urgent Care,ヘルスケア,Healthcare
Town Hall,Lost item,Other
ATM Fee,misceláneos,Other
DIRECT DEBIT Health Insurance $40.23,,Bills & Utilities
Auto Insurance,Auto payment,Transport
Apartment,alquiler,Housing
WESTERN UNION $76.10 Contribution,,Other
BOOK STORE $1481.95,,Education
Optometrist,Specialist visit,Healthcare
Alliance Française,университет,Education
Notebooks,educación,Education
Mayo Clinic,Medical,Healthcare
Aquarium,cine,Entertainment
Escape Room,,Entertainment
GOVERNMENT PAYMENT $54.60 Dry cleaning,,Other
Rite Aid,santé,Healthcare
Tax Payment,Monitoring fee,Bills & Utilities
ASOS,Charger,Shopping
Nike,,Shopping
STATE TREASURY REFUND Claim settlement,,Income
HOA Payment,,Housing
Lowe's,Gift,Shopping
BANK FEE $134.54,,Other
DIRECT DEBIT Life Insurance $188.13,,Bills & Utilities
Ophthalmologist,Diabetic supplies,Healthcare
TICKETMASTER $30.47,,Entertainment
AMC THEATRES LONDON $152.51,,Entertainment
KAISER PERMANENTE $1011.25 Pet surgery,,Healthcare
Hulu,सदस्यता,Bills & Utilities
State Farm,Maintenance fee,Bills & Utilities
U-Haul,Windows,Housing
Home Security,abonnement,Bills & Utilities
Photography,Wellness subscription,Entertainment
Poker Night,Streaming subscription,Entertainment
Neiman Marcus,Fragrance,Shopping
PLAYSTATION STORE $121.38,,Entertainment
Hawaiian Airlines,taxi,Transport
MasterClass,Learning,Education
HOA Payment,Landscaping,Housing
GEICO PAYMENT $171.39,,Bills & Utilities
STATE FARM INS $77.51 Family plan,,Bills & Utilities
Tile,Home insurance,Housing
Miscellaneous,Fine payment,Other
Electric Bill,,Bills & Utilities
STEAM PURCHASE $157.90 Fair,,Entertainment
ATM Fee,Other expense,Other
LSAT Prep,Lifetime access,Education
SKILLSHARE $25.52,,Education
E*Trade,remboursement,Income
JioMart,Clothes,Shopping
STOCK SALE FIDE $2732.12,,Income
Renters Insurance,Electric bill,Bills & Utilities
Nando's,Fries,Food & Drink
EVgo,교통,Transport
METRO TRANSIT $485.75,,Transport
Aldi STORE #9478 PURCHASE,,Food & Drink
Tile,Cleaning,Housing
COMCAST CABLE $197.21,,Bills & Utilities
Concert ticket,映画,Entertainment
CARD 5907 PURCHASE Curry House Morning coffee,,Food & Drink
LIVE NATION $41.99 Live music,,Entertainment
BOOK STORE $1612.46,,Education
METRO TRANSIT $228.70 Tire rotation,,Transport
LSAT Prep,curso,Education
Copy Shop,Prepaid load,Other
Curry House SUBSCRIPTION RENEWAL,,Food & Drink
DIRECT DEBIT Progressive $37.26,,Bills & Utilities
Alaska Airlines,Round trip,Transport
Civic,일반,Other
Book Store,Learning,Education
ONLINE ORDER GameStop Boots,,Shopping
Trainline,Inspection,Transport
Health Center,牙科,Healthcare
Jump Start,In-flight meal,Transport
UDEMY COURSE $1447.68 Monthly subscription,,Education
Pluralsight,Certification,Education
PLAYSTATION STORE $110.09,,Entertainment
ONLINE PURCHASE Dishoom.COM,,Food & Drink
HBO Max,बिल,Bills & Utilities
MEDICAL CENTER $1251.79 Medical visit,,Healthcare
COMCAST CABLE $169.27 Late fee,,Bills & Utilities
Capital Gains,Award,Income
Apartments.com,Remodel,Housing
METRO TRANSIT $443.50 Brake pads,,Transport
Petco,,Shopping
CHEGG STUDY $1739.18 Loan payment,,Education
Pet Boarding,Top-up,Other
Community College,école,Education
H-E-B,Frappuccino,Food & Drink
Crypto Exchange,دفعة,Income
TICKETMASTER $143.88,,Entertainment
VENMO CASHOUT $295.12 Claim settlement,,Income
STOCK SALE YARD $2598.24 Bonus,,Income
SHELL OIL DUBAI #9035,,Transport
Sport Rehab,,Healthcare
Rental Income,Online sale,Income
USPS POSTAGE $163.67,,Other
Music album,entretenimiento,Entertainment
YouTube Premium,Monthly fee,Bills & Utilities
Cisco Learning,Student loan,Education
Various,Stamp,Other
COMCAST CABLE $349.44,,Bills & Utilities
NIKE.COM ORDER PURCHASE Subscription box,,Shopping
Budget,,Transport
Dollar Tree,Boots,Shopping
POS PURCHASE KFC CHICAGO,,Food & Drink
QUEST DIAGNOSTICS $615.16,,Healthcare
Toptal,Refund,Income
IKEA,商店,Shopping
EXXON MOBIL #1488 Flight ticket,,Transport
Lottery Winnings,工资,Income
Thai Basil,Counter service,Food & Drink
Civic,Misc purchase,Other
ATM Fee,잡다,Other
Language School,Cooking class,Education
SpotHero,Daily commute,Transport
Mosque,Prepaid load,Other
LOWES #8153 $1970.34,,Housing
Pluralsight,Degree program,Education
FedEx,diversos,Other
AUTOPAY VERIZON WIRELESS $82.59,,Bills & Utilities
HOA DUES $1613.13,,Housing
Hardee's,فطور,Food & Drink
AT&T Store,einkaufen,Shopping
Skillshare,Grant,Education
PetSmart,Furniture,Shopping
Etsy,Licensing,Income
Starbucks STORE #2444 PURCHASE,,Food & Drink
HOSPITAL BILL $693.70 Imaging,,Healthcare
ADP Payroll,,Income
Lowe's,casa,Shopping
Vanguard,Freelance payment,Income
PAYPAL TRANSFER $8752.15,,Income
Republic Services,Security system,Bills & Utilities
Tailor,,Other
CreativeLive,English class,Education
AMC THEATRES SINGAPORE $183.52,,Entertainment
TICKETMASTER $127.30,,Entertainment
LabCorp,Follow-up,Healthcare
DOORDASH *Moe's Southwest Grill PURCHASE Chicken,,Food & Drink
FEDEx SHIPPING $51.18 Replacement,,Other
MISC PURCHASE $68.96,,Other
PROPERTY TAX $1656.23,,Housing
MEDICAL CENTER $537.77 Dental cleaning,,Healthcare
AT&T Store,,Shopping
Dance Classes,Online learning,Education
Rebate,Patent income,Income
NETFLIX.COM $19.25,,Entertainment
HOA Dues,Broadband,Bills & Utilities
Molly Maid,Home warranty,Housing
Etsy,GoFundMe,Income
STATE FARM INS $58.51,,Bills & Utilities
Nanny,Charity,Other
Stand-up Show,streaming,Entertainment
Avis,,Transport
Dance Classes,,Education
Trulia,Electrician,Housing
Temu,전자제품,Shopping
KAISER PERMANENTE $1268.08 Eye exam,,Healthcare
DIRECT DEBIT Gmail $85.30,,Bills & Utilities
TJX,,Shopping
Microsoft 365,订阅,Bills & Utilities
DOORDASH *Papa Murphy's PURCHASE Lunch,,Food & Drink
PHARMACY PURCHASE $447.56 Psychiatry,,Healthcare
CrossFit,seguro,Bills & Utilities
Movie rental,,Entertainment
ONLINE ORDER Online Shopping,,Shopping
Stand-up Show,Game purchase,Entertainment
SKILLSHARE $1325.55,,Education
Freelancer.com,paiement,Income
XBOX LIVE $184.68,,Entertainment
USAA,Direct debit,Bills & Utilities
ONLINE ORDER TJ Maxx,,Shopping
Disney+,facturas,Bills & Utilities
Notebooks,Loan payment,Education
APPLE STORE PURCHASE $83.48,,Shopping
Garage Door,,Housing
SAT Prep,universität,Education
Gucci,Adapter,Shopping
Mental Health,Procedure,Healthcare
Singapore Airlines,Uber,Transport
Extra Space,Monthly mortgage,Housing
Mechanic,Flight,Transport
Charles Schwab,Patent income,Income
Ola,Tire rotation,Transport
Con Edison,Subscription,Bills & Utilities
Thrift Store,divers,Other
USAA,Electric bill,Bills & Utilities
UBER EATS *Papa Murphy's PURCHASE,,Food & Drink
WALGREENS #8777 $81.07 Consultation,,Healthcare
CareNow,Physical exam,Healthcare
TJX,ملابس,Shopping
Myntra,Toddler,Shopping
Rent Payment,Monthly rent,Housing
COMCAST CABLE $82.35,,Bills & Utilities
Brinks,订阅,Bills & Utilities
ATM Fee,सामान्य,Other
Upwork,返金,Income
Sam's Club,Microtransaction,Shopping
Nanny,общее,Other
Gift Card,Replacement,Other
APPLE STORE PURCHASE $190.10 Beauty products,,Shopping
Kaiser Permanente,médico,Healthcare
UBER *TRIP $506.13,,Transport
SHELL OIL SINGAPORE #6884,,Transport
HOA Dues,보험,Bills & Utilities
USPS POSTAGE $194.06,,Other
Continuing Education,Coding bootcamp,Education
DEBIT PURCHASE Nordstrom Wedding gift,,Shopping
VENMO CASHOUT $2955.58,,Income
QUEST DIAGNOSTICS $816.00 Pharmacy,,Healthcare
Retirement Distribution,Interest payment,Income
STOCK SALE GIFT $8063.74 Part-time work,,Income
UPS SHIPPING $114.28,,Other
Curry House,Wrap,Food & Drink
Rite Aid,电子产品,Shopping
Theatre,Play,Entertainment
Yo! Sushi,Snack,Food & Drink
BEST BUY #2460 TORONTO Beauty products,,Shopping
DELTA AIR LINES $548.72,,Transport
LensCrafters,Procedure,Healthcare
PAYPAL TRANSFER $8168.40,,Income
STATE FARM INS $39.68,,Bills & Utilities
UNIVERSITY TUITION $1440.54 Student fee,,Education
PHARMACY PURCHASE $152.90 Crown,,Healthcare
CVS Pharmacy,,Healthcare
At Home,einkaufen,Shopping
DMV,Misc purchase,Other
Church,Tithe,Other
PLAYSTATION STORE $30.34,,Entertainment
UBER *TRIP $549.70 Vehicle lease,,Transport
SPOTIFY USA $76.11,,Entertainment
PROPERTY TAX $2209.98,,Housing
Charity,その他,Other
ONLINE PURCHASE Yo! Sushi.COM,,Food & Drink
LIVE NATION $82.99,,Entertainment
Paramount+,संगीत,Entertainment
Amazon Prime,Direct debit,Bills & Utilities
SCHOOL PAYMENT $1407.32 Guitar lesson,,Education
Veterinarian,X-ray,Healthcare
Dairy Queen,Burger,Food & Drink
Safeway,Family meal,Food & Drink
QUEST DIAGNOSTICS $369.10,,Healthcare
Termite Treatment,Maid service,Housing
Coach,,Shopping
Verizon,बिल,Bills & Utilities
Home Depot,Furniture,Shopping
Tax Return,付款,Income
DIRECT DEPOSIT PAYROLL $6146.62 Award,,Income
Bass Pro Shops,Online shopping,Shopping
USPS POSTAGE $138.46,,Other
FlixBus,First class,Transport
Rentokil,Maid service,Housing
Orkin,ипотека,Housing
PROPERTY TAX $2185.63 Rent,,Housing
Brake Service,Tire rotation,Transport
COURSERA PURCHASE $335.77,,Education
Apple TV+,Theme park,Entertainment
ATM WITHDRAWAL FEE Monthly subscription,,Other
DEBIT CARD PURCHASE El Pollo Loco Counter service,,Food & Drink
Instacart Grocery,,Food & Drink
Zelle,환급,Income
Ophthalmologist,Follow-up,Healthcare
Gucci,Holiday gift,Shopping
Amazon Prime,Family plan,Bills & Utilities
T-MOBILE AUTOPAY $231.11 Monthly fee,,Bills & Utilities
Drone,,Entertainment
COURSERA PURCHASE $1716.21,,Education
NETFLIX.COM $70.81 Open mic,,Entertainment
HP,Hat,Shopping
Hobby Lobby,खरीदारी,Shopping
Air France,Inspection,Transport
T-MOBILE AUTOPAY $309.10 Broadband,,Bills & Utilities
Child Support,,Bills & Utilities
UBER *TRIP $259.82 Vehicle lease,,Transport
HOSPITAL BILL $610.36,,Healthcare
WESTERN UNION $168.93,,Other
DIRECT DEPOSIT PAYROLL $6339.62,,Income
CVS PHARMACY #2692 $331.92 Crown,,Healthcare
Piano Lessons,Certificate program,Education
STEAM PURCHASE $197.56,,Entertainment
ACH CREDIT Disability,,Income
CareNow,Surgery,Healthcare
PlayStation Plus,Theatre,Entertainment
Professional Development,Guitar lesson,Education
StubHub,música,Entertainment
PLURALSIGHT $827.68 Guitar lesson,,Education
Laser Tag,jeux,Entertainment
NETFLIX.COM $133.64 Audiobook,,Entertainment
COMCAST CABLE $225.61 Security system,,Bills & Utilities
PLURALSIGHT $1902.04 Art class,,Education
Five Below,elektronik,Shopping
DataCamp,शिक्षा,Education
HOME DEPOT.COM $1521.64 Storage,,Housing
Khan Academy,Cooking class,Education
Tutor,éducation,Education
In-N-Out Burger,,Food & Drink
Comcast,,Bills & Utilities
Barnes & Noble,Game night,Entertainment
Severance,zahlung,Income
IRS TREAS 310 TAX REF Coaching,,Income
CVS PHARMACY #8192 $699.10,,Healthcare
LYFT RIDES $21.38,,Transport
Interest Payment,Monthly salary,Income
Contractor,reparatur,Housing
Twitch,Annual plan,Entertainment
H-E-B,Takeout,Food & Drink
FEDEx SHIPPING $84.98 Various,,Other
ER visit,LASIK,Healthcare
MEDICAL CENTER $424.64,,Healthcare
WALGREENS #1379 $855.40,,Healthcare
UPS,Monthly subscription,Other
DEBIT PURCHASE Dollar Tree,,Shopping
Live Nation,Annual plan,Entertainment
Newegg,,Shopping
Tax Payment,Maintenance fee,Bills & Utilities
Miscellaneous,,Other
PG&E ELECTRIC $301.25 Service fee,,Bills & Utilities
TICKETMASTER $185.14,,Entertainment
Apartments.com,Maid service,Housing
MEDICAL CENTER $1421.67,,Healthcare
HOME DEPOT #4350 $1712.49 Shipping,,Housing
